Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729776962364,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,62,60,60,61,58,57,59,57,50,0,0,0,0,0,0,0,0,0,0,0,0,0,33.333335876464844,0,36.1483154296875,68719476736,1073741824,26964344832,49020928
200,1729776962364,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,62,60,60,61,58,57,59,57,50,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,36.1483154296875,68719476736,1073741824,26967244800,49020928
199,1729776962565,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,62,60,60,61,58,57,59,57,20,0,5,0,23.809524536132813,0,5,0,23.809524536132813,0,30.000001907348633,0,85.71428680419922,0,31.57894515991211,0,36.1483154296875,68719476736,1073741824,26993098752,49020928
203,1729776962765,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,62,60,60,61,58,57,59,57,25,0,0,0,85,0,15.000000953674316,0,21.052631378173828,0,10,0,25,0,21.052631378173828,0,36.1483154296875,68719476736,1073741824,27032330240,49020928
201,1729776962969,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,67,86,63,67,65,63,65,63,5,0,0,0,0,0,0,0,54.54545593261719,0,0,0,0,0,47.619049072265625,0,36.1483154296875,68719476736,1073741824,27067457536,49020928
204,1729776963171,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,67,86,63,67,65,63,65,63,20,0,0,0,4.761904716491699,0,4.761904716491699,0,63.15789031982422,0,9.523809432983398,0,5,0,20,0,38.0001220703125,68719476736,1073741824,27097919488,49020928
204,1729776963376,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,67,86,63,67,65,63,65,63,5,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,38.0001220703125,68719476736,1073741824,27123843072,49020928
203,1729776963581,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,67,86,63,67,65,63,65,63,19.047618865966797,0,71.42857360839844,0,0,0,0,0,35,0,14.285715103149414,0,9.523809432983398,0,4.761904716491699,0,38.0001220703125,68719476736,1073741824,27135074304,49020928
202,1729776963785,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,67,86,63,67,65,63,65,63,5,0,28.571430206298828,0,70,0,0,0,4.761904716491699,0,0,0,0,0,4.545454502105713,0,38.0001220703125,68719476736,1073741824,27142696960,49020928
199,1729776963988,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,92,66,65,67,66,64,66,65,38.095237731933594,0,0,0,65,0,0,0,0,0,0,0,20,0,0,0,38.0001220703125,68719476736,1073741824,27154247680,49020928
199,1729776964188,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,92,66,65,67,66,64,66,65,10,0,0,0,10,0,0,0,9.523809432983398,9.523809432983398,14.285715103149414,0,10,0,84.21052551269531,0,59.31049728393555,68719476736,1073741824,27164540928,49020928
199,1729776964388,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,92,66,65,67,66,64,66,65,15.789472579956055,0,0,0,0,0,0,0,5,0,10.526315689086914,0,0,0,100,0,59.31049728393555,68719476736,1073741824,27180265472,49020928
199,1729776964588,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,92,66,65,67,66,64,66,65,10,0,0,0,0,0,0,0,5,0,5,0,0,0,100,0,59.31049728393555,68719476736,1073741824,27198451712,49020928
200,1729776964789,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,92,66,65,67,66,64,66,65,15.000000953674316,0,0,0,0,0,4.761904716491699,0,10,0,5,0,5,0,100,0,59.31049728393555,68719476736,1073741824,27235078144,49020928
204,1729776964989,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,66,65,68,66,89,67,67,67,10,0,0,0,50,0,0,0,0,0,0,0,0,0,45,0,59.31049728393555,68719476736,1073741824,27503480832,49020928
201,1729776965194,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,66,65,68,66,89,67,67,67,14.285715103149414,0,80.95238494873047,0,0,0,0,0,14.285715103149414,0,4.761904716491699,0,4.761904716491699,0,0,0,68.45532989501953,68719476736,1073741824,27607654400,49020928
201,1729776965396,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,66,65,68,66,89,67,67,67,15.789472579956055,10,100,10,14.285715103149414,9.523809432983398,10,13.636363983154297,10.526315689086914,10,14.285715103149414,10,10,14.285715103149414,14.285715103149414,14.285715103149414,68.45532989501953,68719476736,1073741824,27694092288,49020928
204,1729776965598,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,66,65,68,66,89,67,67,67,90.47618865966797,90.47618865966797,95.23809814453125,95,90,94.73684692382813,95,90,100,90,94.73684692382813,90,90,95,89.47368621826172,90,68.45532989501953,68719476736,1073741824,27685994496,49020928
