Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729782401290,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,65,66,66,66,65,64,67,63,100,0,50,0,66.66667175292969,0,50,0,66.66667175292969,0,66.66667175292969,0,50,0,66.66667175292969,0,52.238800048828125,68719476736,1073741824,28916969472,49020928
205,1729782401290,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,65,66,66,66,65,64,67,63,50,0,NaN,0,100,0,100,0,100,0,100,0,100,0,100,0,52.238800048828125,68719476736,1073741824,28916969472,49020928
205,1729782401496,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,65,66,66,66,65,64,67,63,45,0,47.619049072265625,9.523809432983398,40,4.761904716491699,28.571430206298828,4.761904716491699,55,0,42.85714340209961,4.761904716491699,38.095237731933594,4.761904716491699,33.333335876464844,0,44.794010162353516,68719476736,1073741824,28916969472,49020928
200,1729782401702,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,65,66,66,66,65,64,67,63,57.142860412597656,0,38.095237731933594,0,38.095237731933594,0,30.000001907348633,0,52.38095474243164,0,35,0,55,0,42.85714340209961,0,44.794010162353516,68719476736,1073741824,28916969472,49020928
199,1729782401903,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,65,66,66,66,65,64,67,63,36.842105865478516,0,28.571430206298828,0,21.052631378173828,0,5,0,30.000001907348633,0,28.571430206298828,0,30.000001907348633,0,25,0,44.794010162353516,68719476736,1073741824,28955799552,49020928
199,1729782402103,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,65,66,66,66,65,64,67,63,45,10,31.57894515991211,10,27.272727966308594,5.263157844543457,23.809524536132813,5.263157844543457,45,14.285715103149414,45,9.523809432983398,38.095237731933594,10,36.842105865478516,10,44.794010162353516,68719476736,1073741824,28945301504,49020928
208,1729782402303,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,83,80,87,72,71,71,70,69,57.142860412597656,0,35,0,21.052631378173828,0,21.052631378173828,0,50,0,42.105262756347656,0,40,0,33.333335876464844,4.761904716491699,44.794010162353516,68719476736,1073741824,28951347200,49020928
203,1729782402512,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,83,80,87,72,71,71,70,69,45,4.761904716491699,23.809524536132813,4.545454502105713,19.047618865966797,4.545454502105713,40,4.761904716491699,45,0,33.333335876464844,0,38.095237731933594,4.761904716491699,33.333335876464844,0,54.990928649902344,68719476736,1073741824,28950605824,49020928
199,1729782402716,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,83,80,87,72,71,71,70,69,50,0,25,0,25,4.761904716491699,42.85714340209961,4.761904716491699,54.54545593261719,0,38.095237731933594,0,40,0,40,0,54.990928649902344,68719476736,1073741824,28950491136,49020928
198,1729782402918,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,83,80,87,72,71,71,70,69,35,0,30.000001907348633,0,9.523809432983398,0,14.285715103149414,0,45,0,36.842105865478516,0,26.3157901763916,0,21.052631378173828,0,54.990928649902344,68719476736,1073741824,28956790784,49020928
200,1729782403117,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,83,80,87,72,71,71,70,69,55,0,19.047618865966797,0,10.526315689086914,0,11.111111640930176,5,42.105262756347656,4.761904716491699,40,9.523809432983398,30.000001907348633,5,28.571430206298828,5,54.990928649902344,68719476736,1073741824,28968472576,49020928
11,1729782403318,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,76,75,76,80,88,74,79,72,57.142860412597656,10,21.052631378173828,9.523809432983398,15.000000953674316,9.523809432983398,19.047618865966797,5,42.105262756347656,5.263157844543457,38.095237731933594,0,47.619049072265625,5,31.57894515991211,5,54.990928649902344,68719476736,1073741824,28977516544,49020928
