Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729777750437,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,62,62,65,63,61,61,61,60,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.764217376708984,68719476736,1073741824,28020682752,49020928
200,1729777750437,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,62,62,65,63,61,61,61,60,50,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,38.764217376708984,68719476736,1073741824,28023771136,49020928
204,1729777750638,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,62,62,65,63,61,61,61,60,35,0,35,0,14.285715103149414,0,25,0,45,0,20,0,28.571430206298828,0,21.052631378173828,0,38.764217376708984,68719476736,1073741824,28048707584,49020928
203,1729777750843,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,62,62,65,63,61,61,61,60,35,0,19.047618865966797,0,4.761904716491699,0,35,0,40,9.523809432983398,40.90909194946289,0,40,4.761904716491699,22.72727394104004,0,38.764217376708984,68719476736,1073741824,28085207040,49020928
204,1729777751047,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,68,66,68,75,66,74,65,65,14.285715103149414,0,25,0,10.526315689086914,0,4.761904716491699,0,9.523809432983398,0,5,0,57.142860412597656,0,5,0,43.653751373291016,68719476736,1073741824,28120260608,49020928
202,1729777751252,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,68,66,68,75,66,74,65,65,25,0,28.571430206298828,0,0,0,0,0,40,0,10,0,20,0,10,0,43.653751373291016,68719476736,1073741824,28146331648,49020928
200,1729777751455,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,68,66,68,75,66,74,65,65,15.000000953674316,0,0,0,52.38095474243164,0,0,0,42.85714340209961,0,9.523809432983398,0,15.000000953674316,0,0,0,43.653751373291016,68719476736,1073741824,28174557184,49020928
204,1729777751656,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,68,66,68,75,66,74,65,65,14.285715103149414,0,0,0,25,0,30.000001907348633,0,5,0,20,0,33.333335876464844,0,5,0,43.653751373291016,68719476736,1073741824,28189474816,49020928
200,1729777751861,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,68,66,68,75,66,74,65,65,60.000003814697266,0,35,0,0,0,0,0,10,0,10.526315689086914,0,36.842105865478516,0,0,0,43.653751373291016,68719476736,1073741824,28195885056,49020928
200,1729777752062,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,67,66,65,77,64,74,63,64,50,0,40,0,15.000000953674316,0,5,0,30.000001907348633,0,30.000001907348633,0,33.333335876464844,0,40,4.761904716491699,58.730918884277344,68719476736,1073741824,28222275584,49020928
202,1729777752263,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,67,66,65,77,64,74,63,64,10,0,100,0,0,0,0,0,5,0,4.761904716491699,0,0,0,0,0,58.730918884277344,68719476736,1073741824,28233957376,49020928
203,1729777752466,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,67,66,65,77,64,74,63,64,25,0,33.333335876464844,0,19.047618865966797,5,0,0,33.333335876464844,0,15.000000953674316,0,19.047618865966797,0,4.761904716491699,0,58.730918884277344,68719476736,1073741824,28243263488,49020928
