Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729778863514,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,65,63,65,63,63,62,63,61,50,0,0,0,0,0,0,0,33.333335876464844,0,0,0,0,0,0,0,37.68054962158203,68719476736,1073741824,27966631936,49020928
207,1729778863514,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,65,63,65,63,63,62,63,61,50,0,NaN,0,0,0,0,0,50,0,0,0,0,0,0,0,37.68054962158203,68719476736,1073741824,27969908736,49020928
207,1729778863723,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,65,63,65,63,63,62,63,61,35,4.761904716491699,13.636363983154297,0,10,0,5,0,15.000000953674316,0,35,0,30.000001907348633,0,80.95238494873047,0,37.68054962158203,68719476736,1073741824,27996401664,49020928
206,1729778863931,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,65,63,65,63,63,62,63,61,33.333335876464844,0,50,0,9.090909004211426,0,18.18181800842285,0,28.571430206298828,5,42.85714340209961,4.545454502105713,19.047618865966797,4.545454502105713,10,0,37.68054962158203,68719476736,1073741824,28035956736,49020928
207,1729778864137,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,70,68,68,68,76,67,66,66,38.095237731933594,0,20,0,0,0,15.000000953674316,0,25,0,9.523809432983398,0,4.761904716491699,0,31.81818199157715,0,37.68054962158203,68719476736,1073741824,28067692544,49020928
208,1729778864345,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,70,68,68,68,76,67,66,66,10,0,0,0,0,0,0,0,47.619049072265625,0,0,0,10,0,35,0,40.5790901184082,68719476736,1073741824,28096430080,49020928
207,1729778864554,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,70,68,68,68,76,67,66,66,9.523809432983398,0,0,0,0,0,0,0,5,0,9.090909004211426,0,66.66667175292969,0,36.3636360168457,0,40.5790901184082,68719476736,1073741824,28119711744,49020928
199,1729778864762,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,70,68,68,68,76,67,66,66,9.523809432983398,0,4.545454502105713,0,0,0,4.761904716491699,0,13.636363983154297,0,47.36842346191406,0,14.285715103149414,0,35,0,40.5790901184082,68719476736,1073741824,28135198720,49020928
202,1729778864962,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,70,68,68,68,76,67,66,66,21.052631378173828,0,5,0,0,0,4.761904716491699,0,0,0,4.761904716491699,0,60.000003814697266,0,25,0,40.5790901184082,68719476736,1073741824,28143734784,49020928
207,1729778865164,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,71,68,89,69,69,67,67,66,19.047618865966797,0,0,0,0,0,0,0,23.809524536132813,0,80.95238494873047,0,5,0,0,0,40.5790901184082,68719476736,1073741824,28154826752,49020928
206,1729778865373,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,71,68,89,69,69,67,67,66,9.523809432983398,0,0,0,4.761904716491699,0,0,0,0,0,19.047618865966797,0,90.47618865966797,0,4.761904716491699,0,61.350852966308594,68719476736,1073741824,28167266304,49020928
207,1729778865579,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,71,68,89,69,69,67,67,66,20,0,0,0,4.761904716491699,0,0,0,22.72727394104004,0,0,0,100,0,4.761904716491699,0,61.350852966308594,68719476736,1073741824,28181745664,49020928
207,1729778865787,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,71,68,89,69,69,67,67,66,9.523809432983398,0,18.18181800842285,0,60.000003814697266,0,0,0,4.761904716491699,0,0,0,27.272727966308594,0,4.761904716491699,0,61.350852966308594,68719476736,1073741824,28181745664,49020928
208,1729778865995,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,71,68,89,69,69,67,67,66,60.000003814697266,0,30.000001907348633,0,0,0,15.000000953674316,0,5,0,9.523809432983398,0,0,0,0,0,61.350852966308594,68719476736,1073741824,28181745664,49020928
