Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729779005962,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,64,61,61,61,60,58,60,59,50,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,36.437435150146484,68719476736,1073741824,27963133952,49020928
200,1729779005962,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,64,61,61,61,60,58,60,59,50,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,36.437435150146484,68719476736,1073741824,27966234624,49020928
200,1729779006164,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,69,66,64,65,64,62,73,62,40,0,0,0,35,0,30.000001907348633,0,55,0,20,0,35,0,10,0,36.437435150146484,68719476736,1073741824,27991191552,49020928
204,1729779006364,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,69,66,64,65,64,62,73,62,21.052631378173828,0,15.789472579956055,0,35,0,47.619049072265625,0,28.571430206298828,0,20,0,47.36842346191406,0,14.285715103149414,0,37.16014862060547,68719476736,1073741824,28028129280,49020928
204,1729779006569,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,69,66,64,65,64,62,73,62,9.523809432983398,0,0,0,0,0,100,0,0,0,0,0,4.761904716491699,0,0,0,37.16014862060547,68719476736,1073741824,28063154176,49020928
203,1729779006774,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,69,66,64,65,64,62,73,62,14.285715103149414,0,50,0,0,0,42.85714340209961,0,5,0,9.523809432983398,0,4.761904716491699,0,0,0,37.16014862060547,68719476736,1073741824,28092284928,49020928
204,1729779006978,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,69,66,64,65,64,62,73,62,5,0,5,0,0,0,0,0,28.571430206298828,0,70,0,0,0,0,0,37.16014862060547,68719476736,1073741824,28120223744,49020928
202,1729779007183,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,69,67,68,87,66,68,67,65,14.285715103149414,0,0,0,0,0,0,0,0,0,14.285715103149414,0,80,0,5,0,37.16014862060547,68719476736,1073741824,28133023744,49020928
204,1729779007386,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,69,67,68,87,66,68,67,65,0,0,0,0,0,0,9.523809432983398,0,15.000000953674316,0,0,0,80,0,0,0,44.96287536621094,68719476736,1073741824,28140683264,49020928
204,1729779007590,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,69,67,68,87,66,68,67,65,14.285715103149414,0,0,0,0,0,0,0,85.71428680419922,0,4.761904716491699,0,14.285715103149414,0,0,0,44.96287536621094,68719476736,1073741824,28153085952,49020928
203,1729779007796,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,69,67,68,87,66,68,67,65,5,0,0,0,0,0,0,0,100,0,5,0,0,0,0,0,44.96287536621094,68719476736,1073741824,28164689920,49020928
202,1729779008000,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,69,67,68,87,66,68,67,65,10,0,0,0,0,0,0,0,100,0,9.523809432983398,0,0,0,15.000000953674316,0,44.96287536621094,68719476736,1073741824,28179337216,49020928
203,1729779008203,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,68,66,66,67,75,66,68,77,22.72727394104004,0,0,0,0,0,33.333335876464844,0,5,0,0,0,9.523809432983398,0,57.142860412597656,0,44.96287536621094,68719476736,1073741824,28209307648,49020928
203,1729779008407,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,68,66,66,67,75,66,68,77,5,0,100,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,69.42304992675781,68719476736,1073741824,28242595840,49020928
201,1729779008611,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,68,66,66,67,75,66,68,77,0,0,65,0,0,0,0,0,38.095237731933594,0,0,0,0,0,0,0,69.42304992675781,68719476736,1073741824,28232368128,49020928
15,1729779008814,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,68,66,66,67,75,66,68,77,14.285715103149414,0,0,0,0,0,0,0,15.000000953674316,0,0,0,65,0,10,0,69.42304992675781,68719476736,1073741824,27968172032,49020928
