Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729789115437,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,61,61,61,61,61,59,61,60,33.333335876464844,0,0,0,0,0,0,0,33.333335876464844,0,33.333335876464844,0,0,0,0,0,38.77933883666992,68719476736,1073741824,29088886784,49020928
202,1729789115437,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,61,61,61,61,61,59,61,60,NaN,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,38.77933883666992,68719476736,1073741824,29092118528,49020928
203,1729789115640,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,64,64,63,63,62,65,62,61,28.571430206298828,0,70,0,0,0,0,0,28.571430206298828,0,30.000001907348633,0,15.000000953674316,0,35,4.545454502105713,37.37974166870117,68719476736,1073741824,29118181376,49020928
201,1729789115844,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,64,64,63,63,62,65,62,61,20,0,19.047618865966797,0,9.523809432983398,0,66.66667175292969,0,30.000001907348633,4.761904716491699,20,0,10,0,40,0,37.37974166870117,68719476736,1073741824,29152768000,49020928
202,1729789116046,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,64,64,63,63,62,65,62,61,30.000001907348633,0,0,0,0,0,20,0,5,0,70,0,9.523809432983398,0,15.000000953674316,0,37.37974166870117,68719476736,1073741824,29169102848,49020928
204,1729789116249,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,64,64,63,63,62,65,62,61,10,0,0,0,0,0,0,0,55,0,66.66667175292969,0,0,0,4.545454502105713,0,37.37974166870117,68719476736,1073741824,29190983680,49020928
202,1729789116454,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,68,95,66,69,66,65,66,65,13.636363983154297,0,0,0,19.047618865966797,0,0,0,100,0,0,0,0,0,0,0,37.37974166870117,68719476736,1073741824,29207146496,49020928
204,1729789116656,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,68,95,66,69,66,65,66,65,5.263157844543457,0,0,0,100,0,0,0,5,0,0,0,0,0,0,0,42.20570373535156,68719476736,1073741824,29207146496,49020928
201,1729789116861,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,68,95,66,69,66,65,66,65,9.523809432983398,0,35,0,10,0,0,0,52.38095474243164,0,9.090909004211426,0,4.761904716491699,0,0,0,42.20570373535156,68719476736,1073741824,29207146496,49020928
200,1729789117064,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,68,95,66,69,66,65,66,65,25,0,23.809524536132813,0,0,0,0,0,21.052631378173828,0,0,0,47.619049072265625,0,0,0,42.20570373535156,68719476736,1073741824,29207146496,49020928
