Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729791803261,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,62,61,61,62,61,60,61,60,50,0,0,0,0,0,0,0,33.333335876464844,0,0,0,0,0,0,0,36.32320022583008,68719476736,1073741824,29865836544,49020928
204,1729791803262,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,62,61,61,62,61,60,61,60,100,0,0,0,0,0,0,0,0,0,0,0,33.333335876464844,0,0,0,36.32320022583008,68719476736,1073741824,29868158976,49020928
199,1729791803467,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,62,61,61,62,61,60,61,60,36.842105865478516,0,31.57894515991211,0,0,0,4.761904716491699,0,19.047618865966797,0,28.571430206298828,0,63.15789031982422,0,26.3157901763916,0,36.32320022583008,68719476736,1073741824,29868158976,49020928
163,1729791803703,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,68,67,66,88,66,66,65,64,32,0,16.666667938232422,0,4.1666669845581055,0,9.090909004211426,0,30.434782028198242,0,25,0,83.33332824707031,0,20,0,36.32320022583008,68719476736,1073741824,29868158976,49020928
203,1729791803867,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,68,67,66,88,66,66,65,64,6.25,0,0,0,0,0,5.555555820465088,0,0,0,0,0,100,0,0,0,37.746063232421875,68719476736,1073741824,29868158976,49020928
203,1729791804071,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,68,67,66,88,66,66,65,64,35,0,4.761904716491699,0,0,0,0,0,10,0,0,0,76.19047546386719,0,0,0,37.746063232421875,68719476736,1073741824,30436458496,49020928
203,1729791804274,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,68,67,66,88,66,66,65,64,60.000003814697266,0,0,0,4.761904716491699,0,15.789472579956055,0,28.571430206298828,0,9.090909004211426,0,4.761904716491699,0,0,0,37.746063232421875,68719476736,1073741824,30607949824,49020928
204,1729791804479,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,68,67,66,88,66,66,65,64,10,0,0,0,0,0,19.047618865966797,0,4.761904716491699,0,0,0,80,0,0,0,37.746063232421875,68719476736,1073741824,30780837888,49020928
203,1729791804684,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,68,66,68,68,70,67,70,97,18.18181800842285,0,25,0,0,0,66.66667175292969,9.090909004211426,5,0,14.285715103149414,0,0,0,0,0,37.746063232421875,68719476736,1073741824,30952542208,49020928
200,1729791804887,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,68,66,68,68,70,67,70,97,5,0,4.761904716491699,0,100,0,0,0,0,0,0,0,0,0,0,0,55.10783386230469,68719476736,1073741824,31128739840,49020928
