Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729793394743,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,66,64,65,65,63,63,63,62,50,0,0,0,0,0,0,0,50,0,50,0,0,0,0,0,36.679344177246094,68719476736,1073741824,29923123200,49020928
204,1729793394744,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,66,64,65,65,63,63,63,62,NaN,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,36.679344177246094,68719476736,1073741824,29923123200,49020928
199,1729793394948,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,66,64,65,65,63,63,63,62,66.66667175292969,0,0,0,0,0,0,0,35,0,4.761904716491699,0,0,0,0,0,36.679344177246094,68719476736,1073741824,29923123200,49020928
201,1729793395148,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,66,64,65,65,63,63,63,62,52.6315803527832,0,25,0,0,0,0,0,30.000001907348633,0,15.000000953674316,0,5,0,0,0,36.679344177246094,68719476736,1073741824,29923123200,49020928
202,1729793395350,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,66,64,65,65,63,63,63,62,38.095237731933594,0,20,0,0,0,0,0,47.36842346191406,0,0,0,0,0,4.761904716491699,0,36.679344177246094,68719476736,1073741824,29923123200,49020928
199,1729793395553,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,69,100,66,69,66,65,67,65,10,0,0,0,15.000000953674316,0,0,0,85.71428680419922,0,9.090909004211426,0,4.761904716491699,0,0,0,36.679344177246094,68719476736,1073741824,29927084032,49020928
199,1729793395753,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,69,100,66,69,66,65,67,65,15.000000953674316,0,0,0,0,0,0,0,90,0,0,0,0,0,4.761904716491699,0,41.79996871948242,68719476736,1073741824,29926821888,49020928
200,1729793395953,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,69,100,66,69,66,65,67,65,10,0,0,0,0,0,0,0,100,0,5,0,0,0,0,0,41.79996871948242,68719476736,1073741824,29926760448,49020928
200,1729793396153,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,69,100,66,69,66,65,67,65,65,0,5,0,0,0,0,0,38.095237731933594,0,14.285715103149414,0,15.000000953674316,0,0,0,41.79996871948242,68719476736,1073741824,29926760448,49020928
199,1729793396354,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,69,100,66,69,66,65,67,65,38.095237731933594,0,20,0,0,0,0,0,20,0,5.555555820465088,0,20,0,30.000001907348633,0,41.79996871948242,68719476736,1073741824,29926760448,49020928
