Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729791883984,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,64,64,64,65,63,63,64,63,66.66667175292969,0,0,0,0,0,0,0,33.333335876464844,0,0,0,0,0,0,0,36.53193283081055,68719476736,1073741824,29978013696,49020928
202,1729791883985,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,64,64,64,65,63,63,64,63,100,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,36.53193283081055,68719476736,1073741824,29981044736,49020928
203,1729791884188,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,64,64,64,65,63,63,64,63,57.142860412597656,0,26.3157901763916,0,15.000000953674316,0,0,0,38.095237731933594,0,33.333335876464844,0,25,0,14.285715103149414,0,36.53193283081055,68719476736,1073741824,30074077184,49020928
200,1729791884392,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,64,64,64,65,63,63,64,63,33.333335876464844,0,36.3636360168457,4.761904716491699,14.285715103149414,0,5,4.761904716491699,40,0,30.000001907348633,0,57.142860412597656,0,35,0,36.53193283081055,68719476736,1073741824,30207680512,49020928
203,1729791884593,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,64,64,64,65,63,63,64,63,52.6315803527832,0,0,0,0,0,0,0,35,0,15.000000953674316,0,40,0,4.761904716491699,0,36.53193283081055,68719476736,1073741824,30381330432,49020928
202,1729791884798,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,78,73,74,74,71,70,70,88,23.809524536132813,0,4.761904716491699,0,0,0,19.047618865966797,0,85,0,14.285715103149414,0,5,0,5.263157844543457,0,40.251808166503906,68719476736,1073741824,30557351936,49020928
204,1729791885000,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,78,73,74,74,71,70,70,88,31.57894515991211,0,0,0,0,0,0,0,9.523809432983398,0,70,0,0,0,0,0,40.251808166503906,68719476736,1073741824,30731681792,49020928
199,1729791885205,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,78,73,74,74,71,70,70,88,18.18181800842285,0,4.761904716491699,0,9.090909004211426,0,0,0,5,0,5,0,9.523809432983398,0,95.23809814453125,0,40.251808166503906,68719476736,1073741824,30897889280,49020928
202,1729791885406,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,78,73,74,74,71,70,70,88,5.263157844543457,0,0,0,0,0,0,0,5,0,0,0,0,0,100,0,40.251808166503906,68719476736,1073741824,31070412800,49020928
200,1729791885609,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,78,73,74,74,71,70,70,88,14.285715103149414,0,0,0,94.73684692382813,0,0,0,5,0,5,0,4.761904716491699,0,0,0,40.251808166503906,68719476736,1073741824,31237349376,49020928
200,1729791885809,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,71,69,69,70,73,69,100,71,10,0,0,0,15.000000953674316,0,0,0,4.761904716491699,0,80.95238494873047,0,0,0,0,0,65.61882781982422,68719476736,1073741824,31411314688,49020928
200,1729791886010,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,71,69,69,70,73,69,100,71,26.3157901763916,0,10.526315689086914,0,4.761904716491699,0,0,0,22.22222328186035,0,20,0,15.000000953674316,0,85.71428680419922,0,65.61882781982422,68719476736,1073741824,31582826496,49020928
202,1729791886211,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,71,69,69,70,73,69,100,71,19.047618865966797,0,4.761904716491699,0,94.73684692382813,0,0,0,9.523809432983398,0,5,0,10,0,5,0,65.61882781982422,68719476736,1073741824,31730003968,49020928
203,1729791886415,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,71,69,69,70,73,69,100,71,10,0,60.000003814697266,0,38.095237731933594,0,0,0,4.761904716491699,0,0,0,0,0,0,0,65.61882781982422,68719476736,1073741824,31906385920,49020928
202,1729791886619,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,71,69,69,70,73,69,100,71,9.523809432983398,0,60.000003814697266,0,45,0,0,0,0,0,0,0,0,0,0,0,65.61882781982422,68719476736,1073741824,32081973248,49020928
200,1729791886822,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,72,70,70,70,74,71,100,72,5,0,0,0,19.047618865966797,0,18.18181800842285,0,4.761904716491699,0,70,0,4.761904716491699,0,0,0,73.33314514160156,68719476736,1073741824,32257716224,49020928
204,1729791887022,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,72,70,70,70,74,71,100,72,10,0,0,0,0,0,44.4444465637207,0,5,0,50,0,5,0,0,0,73.33314514160156,68719476736,1073741824,32429092864,49020928
204,1729791887227,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,72,70,70,70,74,71,100,72,10,0,0,0,0,0,4.545454502105713,0,5,0,25,0,80.95238494873047,0,0,0,73.33314514160156,68719476736,1073741824,32600420352,49020928
200,1729791887431,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,72,70,70,70,74,71,100,72,9.523809432983398,0,4.761904716491699,0,0,0,0,0,4.761904716491699,0,9.523809432983398,0,94.73684692382813,0,4.761904716491699,0,73.33314514160156,68719476736,1073741824,32775426048,49020928
201,1729791887631,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,80,72,71,72,71,70,87,70,47.36842346191406,0,0,0,5,0,0,0,5,0,47.619049072265625,0,9.523809432983398,4.761904716491699,0,0,73.33314514160156,68719476736,1073741824,32943136768,49020928
204,1729791887834,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,80,72,71,72,71,70,87,70,10,0,0,0,25,9.523809432983398,0,0,73.68421173095703,0,0,0,0,0,0,0,74.12330627441406,68719476736,1073741824,33119862784,49020928
203,1729791888038,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,80,72,71,72,71,70,87,70,14.285715103149414,0,0,0,95,0,0,0,9.090909004211426,0,5,0,4.761904716491699,0,0,0,74.12330627441406,68719476736,1073741824,33291321344,49020928
204,1729791888243,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,80,72,71,72,71,70,87,70,14.285715103149414,0,4.761904716491699,0,100,0,4.761904716491699,0,9.523809432983398,0,9.523809432983398,0,10,0,4.761904716491699,0,74.12330627441406,68719476736,1073741824,33457549312,49020928
202,1729791888448,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,80,72,71,72,71,70,87,70,10,0,0,0,100,0,0,0,5,0,0,0,4.761904716491699,0,4.761904716491699,0,74.12330627441406,68719476736,1073741824,33624735744,49020928
204,1729791888650,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,73,70,94,72,72,71,72,70,23.809524536132813,0,38.095237731933594,5,5,0,5,0,20,0,38.095237731933594,4.761904716491699,20,0,5,0,74.12330627441406,68719476736,1073741824,33624735744,49020928
199,1729791888855,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,73,70,94,72,72,71,72,70,5,0,0,0,0,0,0,0,5,0,95.45454406738281,0,0,0,0,0,73.72437286376953,68719476736,1073741824,33964478464,49020928
199,1729791889055,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,73,70,94,72,72,71,72,70,20,0,0,0,0,0,0,0,60.000003814697266,0,26.3157901763916,0,0,0,15.000000953674316,0,73.72437286376953,68719476736,1073741824,34081787904,49020928
200,1729791889255,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,73,70,94,72,72,71,72,70,90,0,0,0,0,0,0,0,5.263157844543457,0,5,0,5,0,19.047618865966797,0,73.72437286376953,68719476736,1073741824,33999839232,49020928
201,1729791889456,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,73,70,94,72,72,71,72,70,0,0,90,0,0,0,0,0,4.761904716491699,0,0,0,0,0,5.263157844543457,0,73.72437286376953,68719476736,1073741824,33999839232,49020928
200,1729791889659,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,68,68,67,68,69,66,74,67,10,0,40,0,57.142860412597656,0,0,0,4.761904716491699,0,10,0,0,0,0,0,73.72437286376953,68719476736,1073741824,33999839232,49020928
202,1729791889859,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,68,68,67,68,69,66,74,67,5,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,72.0601806640625,68719476736,1073741824,33862737920,49020928
204,1729791890062,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,68,68,67,68,69,66,74,67,23.809524536132813,0,0,0,5.263157844543457,0,0,0,4.761904716491699,0,75,0,4.761904716491699,0,0,0,72.0601806640625,68719476736,1073741824,33862369280,49020928
204,1729791890267,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,68,68,67,68,69,66,74,67,35,0,0,0,0,0,0,0,70,0,4.761904716491699,0,0,0,0,0,72.0601806640625,68719476736,1073741824,33862225920,49020928
203,1729791890472,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,68,68,67,68,69,66,74,67,9.523809432983398,0,0,0,60.000003814697266,0,0,0,45,0,0,0,0,0,0,0,72.0601806640625,68719476736,1073741824,33862205440,49020928
200,1729791890675,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,69,76,67,68,68,66,68,67,10,0,0,0,28.571430206298828,0,0,0,55,0,14.285715103149414,0,9.523809432983398,0,0,0,72.0601806640625,68719476736,1073741824,32855277568,49020928
199,1729791890876,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,69,76,67,68,68,66,68,67,40,0,0,0,0,0,0,0,4.761904716491699,0,65,0,0,0,0,0,59.68770980834961,68719476736,1073741824,32248254464,49020928
204,1729791891076,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,69,76,67,68,68,66,68,67,40,0,9.523809432983398,0,0,0,0,0,63.15789031982422,0,0,0,5,0,4.761904716491699,0,59.68770980834961,68719476736,1073741824,31885885440,49020928
204,1729791891281,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,69,76,67,68,68,66,68,67,42.85714340209961,0,0,0,0,0,0,0,57.142860412597656,0,4.761904716491699,0,0,0,0,0,59.68770980834961,68719476736,1073741824,31504912384,49020928
203,1729791891486,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,69,76,67,68,68,66,68,67,5,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,59.68770980834961,68719476736,1073741824,31121518592,49020928
202,1729791891689,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,69,69,69,69,70,68,70,79,40,0,4.545454502105713,0,0,0,42.85714340209961,0,5,0,10,0,0,0,25,0,59.68770980834961,68719476736,1073741824,30744571904,49020928
204,1729791891892,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,69,69,69,69,70,68,70,79,33.333335876464844,0,0,0,0,0,0,0,9.523809432983398,0,5,0,66.66667175292969,0,0,0,48.62945556640625,68719476736,1073741824,30219812864,49020928
15,1729791892098,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,69,69,69,69,70,68,70,79,9.523809432983398,0,0,0,0,0,0,0,4.761904716491699,0,4.761904716491699,0,45,0,4.761904716491699,0,48.62945556640625,68719476736,1073741824,29991116800,49020928
