Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729719490474,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,73,72,74,72,78,71,72,70,50,0,50,0,0,0,0,0,0,0,50,0,0,0,0,0,63.873722076416016,68719476736,0,36743815168,0
54,1729719490474,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,73,72,74,72,78,71,72,70,100,0,50,0,0,0,100,0,50,0,0,0,100,0,50,0,63.873722076416016,68719476736,0,36743815168,0
53,1729719490529,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,74,76,80,75,74,72,71,73,40,0,20,0,20,0,33.333335876464844,0,50,0,66.66667175292969,0,33.333335876464844,0,40,0,63.873722076416016,68719476736,0,36743815168,0
52,1729719490583,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,74,76,80,75,74,72,71,73,33.333335876464844,0,16.666667938232422,0,28.571430206298828,0,75,0,40,0,40,0,33.333335876464844,0,50,0,63.873722076416016,68719476736,0,36743815168,0
52,1729719490636,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,74,76,80,75,74,72,71,73,60.000003814697266,0,50,0,60.000003814697266,0,71.42857360839844,0,60.000003814697266,0,40,0,60.000003814697266,0,40,0,63.873722076416016,68719476736,0,36743815168,0
52,1729719490690,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,74,76,80,75,74,72,71,73,60.000003814697266,0,75,0,80,0,20,0,66.66667175292969,0,42.85714340209961,16.666667938232422,50,0,40,0,70.42076110839844,68719476736,0,36743815168,0
52,1729719490743,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,74,76,80,75,74,72,71,73,60.000003814697266,0,66.66667175292969,0,60.000003814697266,0,75,0,66.66667175292969,0,50,0,66.66667175292969,16.666667938232422,60.000003814697266,0,70.42076110839844,68719476736,0,36743815168,0
51,1729719490797,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,74,76,80,75,74,72,71,73,60.000003814697266,0,60.000003814697266,0,83.33332824707031,0,60.000003814697266,0,66.66667175292969,0,66.66667175292969,0,80,0,66.66667175292969,0,70.42076110839844,68719476736,0,36743815168,0
51,1729719490848,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,74,76,80,75,74,72,71,73,33.333335876464844,0,16.666667938232422,0,20,0,42.85714340209961,0,42.85714340209961,0,40,0,40,0,66.66667175292969,0,70.42076110839844,68719476736,0,36743815168,0
49,1729719490900,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,74,76,80,75,74,72,71,73,50,0,80,0,0,0,20,0,20,0,40,0,50,0,25,0,70.42076110839844,68719476736,0,36743815168,0
52,1729719490951,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,74,76,80,75,74,72,71,73,40,0,20,0,40,0,25,0,40,0,40,0,40,0,0,0,70.42076110839844,68719476736,0,36743815168,0
50,1729719491003,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,74,76,80,75,74,72,71,73,75,0,20,0,16.666667938232422,0,60.000003814697266,0,40,0,33.333335876464844,16.666667938232422,40,0,20,0,70.42076110839844,68719476736,0,36801736704,0
49,1729719491055,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,74,76,80,75,74,72,71,73,40,0,20,0,25,0,0,0,40,0,25,0,33.333335876464844,0,20,0,70.42076110839844,68719476736,0,36805787648,0
50,1729719491105,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,74,76,80,75,74,72,71,73,33.333335876464844,0,50,0,0,0,0,0,40,0,50,0,25,0,16.666667938232422,0,70.42076110839844,68719476736,0,36800999424,0
